Protocol_name,Original_clone_ID,Total_reads,Mapping_rate_pct,Duplicate_rate_pct,Mean_depth
NT1,A2NT1,611862005,99.73,24.37,21.31
NT2,A2NT3,623708740,99.73,26.1,21.36
NT3,A5NT2,604781965,99.77,23.58,21.31
NT4,B2NT3,752899283,99.71,27.64,25.26
NT5,B4NT3,602772444,99.73,24.4,21.17
NT6,B5NT2,602650607,99.72,21.43,22.02
NT7,KO2NT2,1036166258,99.74,24.25,36.5
NT8,KO8NT2,628528568,99.71,24.76,21.93
NT9,KONT3,606732609,99.74,24.64,21.2
UV1,UV1B1,617545828,99.77,21.96,22.55
UV2,UV1B2,601104030,99.73,22.76,21.62
UV3,UV1B3,696133918,99.77,26.87,23.69
UV4,UV1KO1,606359521,99.86,15.27,24.2
UV5,UV1KO2,606751758,99.82,14.13,24.56
UV6,UV1KO3,606494474,99.81,14.21,24.52
UV7,UV3UV1,879800661,99.85,20.49,32.88
UV8,UV4UV1,602413617,99.86,21.53,22.29
UV9,UV4UV2,605807154,99.85,24.47,21.57
CP1,CP1A1,844745135,99.87,27.81,28.71
CP2,CP1A3,602882103,99.86,26.51,20.75
CP3,CP1B2,615411968,99.84,16.48,24.18
CP4,CP1B3,663318340,99.88,31.83,21.3
CP5,CP2A3,649874821,99.81,15.74,25.74
CP6,CP2B2,708963424,99.82,15.56,28.15
CP7,CP2KO2,604789865,99.71,22.48,21.83
BAP1,BAP1A3,610858318,99.77,18.61,23.28
BAP2,BAP1A8,603608979,99.86,19.77,22.8
BAP3,BAP1B1,674102811,99.85,20.8,25.12
BAP4,BAP1B3,604967348,99.82,16.15,23.8
BAP5,BAP1KO3,602269868,99.85,21.26,22.35
BAP6,BAP2A7,629727639,99.71,17.76,24.24
BAP7,BAP2B1,636100591,99.81,18.03,24.51
BAP8,BAP2KO2,599000408,99.85,18.54,22.95
ENU1,NEU1A6,717510390,99.86,27.12,24.67
ENU2,NEU1B4,682849548,99.85,22.02,25.12
ENU3,NEU1B6,649592226,99.82,24.87,22.98
ENU4,NEU1KO1,600001069,99.86,27.96,20.31
ENU5,NEU1KO2,603234159,99.85,26.48,20.88
ENU6,NEU2A5,603588021,99.86,28.19,20.4
ENU7,NEU2A6,769338915,99.82,30.99,24.96
ENU8,NEU2B5,611673569,99.86,24.12,21.87
ENU9,NEU2KO5,602940735,99.85,24.98,21.29
omitted,BAP2KO3,887747847,7.65,3.16,0.3
