"Protocol_name","Original_clone_ID","SNVs_before_blacklist","SNVs_after_blacklist","Removed_pct"
"NT1","A2NT1",3095,2860,7.59
"NT2","A2NT3",3401,3158,7.14
"NT3","A5NT2",2380,2179,8.45
"NT4","B2NT3",3454,3154,8.69
"NT5","B4NT3",3400,3137,7.74
"NT6","B5NT2",2449,2218,9.43
"NT7","KO2NT2",1304,971,25.54
"NT8","KO8NT2",6245,5948,4.76
"NT9","KONT3",3732,3493,6.4
"UV1","UV1B1",8760,8516,2.79
"UV2","UV1B2",9440,9182,2.73
"UV3","UV1B3",10024,9703,3.2
"UV4","UV1KO1",4554,4470,1.84
"UV5","UV1KO2",20822,20588,1.12
"UV6","UV1KO3",22491,22175,1.41
"UV7","UV3UV1",16898,16687,1.25
"UV8","UV4UV1",29540,29122,1.42
"UV9","UV4UV2",17592,17384,1.18
"CP1","CP1A1",15840,15610,1.45
"CP2","CP1A3",1583,1473,6.95
"CP3","CP1B2",7031,6903,1.82
"CP4","CP1B3",5116,4986,2.54
"CP5","CP2A3",3187,3093,2.95
"CP6","CP2B2",1225,1160,5.31
"CP7","CP2KO2",16257,15891,2.25
"BAP1","BAP1A3",66059,65348,1.08
"BAP2","BAP1A8",65576,64831,1.14
"BAP3","BAP1B1",78328,77533,1.01
"BAP4","BAP1B3",64430,63751,1.05
"BAP5","BAP1KO3",60089,59481,1.01
"BAP6","BAP2A7",97936,96907,1.05
"BAP7","BAP2B1",61386,60713,1.1
"BAP8","BAP2KO2",78411,77572,1.07
"ENU1","NEU1A6",483889,479323,0.94
"ENU2","NEU1B4",204062,202371,0.83
"ENU3","NEU1B6",132573,131482,0.82
"ENU4","NEU1KO1",269427,266616,1.04
"ENU5","NEU1KO2",242586,240361,0.92
"ENU6","NEU2A5",387546,383637,1.01
"ENU7","NEU2A6",468872,464607,0.91
"ENU8","NEU2B5",208920,207264,0.79
"ENU9","NEU2KO5",330059,327453,0.79
